,id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
394,395,1,2,2,4,1,1,1,1,19,70,94,85,94,55,48,59,2.0,8.0,2,4,3,5,2,5,4,1,3,4,4.0,8,4,8,8,8,8,8,8,8,1,8,8,3,8,8,8,8,8,8,8,2,3,3,2,2,3,1,3,2,3,2,5,2,5,2,4,2,1,1,9,1,1,7,1,3,4,3,7,7,1,2,7,6,4,4,2,3,1,1,1,6,2,2,3,1,1,2,4,1952,1
396,397,1,5,5,5,2,2,2,2,1,50,50,100,70,30,0,90,4.0,4.0,3,5,5,1,4,5,5,1,4,5,4.0,8,3,8,8,8,8,2,8,8,8,4,8,8,8,8,8,8,8,8,8,1,2,2,1,4,2,1,4,1,1,1,3,1,5,7,7,3,7,3,1,4,1,1,4,7,7,3,5,5,1,3,7,5,5,5,3,5,1,1,4,3,1,3,5,1,1,5,1,1956,1
280,281,2,5,5,5,2,2,2,1,0,89,89,75,77,70,40,89,5.0,9.0,4,4,5,5,3,3,2,1,3,3,4.0,8,8,8,8,8,8,2,8,8,8,3,4,8,8,8,8,8,8,8,8,1,3,3,4,1,3,5,1,2,5,4,2,4,7,1,2,3,1,9,2,5,2,5,1,1,1,2,6,6,2,3,2,4,3,3,3,4,1,1,2,5,1,1,1,2,2,1,4,1952,2
1109,1110,3,5,5,5,2,2,2,1,3,27,65,1,86,41,1,99,2.0,3.0,4,2,4,3,1,4,4,2,4,2,4.0,8,8,8,8,8,8,8,8,8,1,4,3,8,8,2,8,8,8,8,8,8,4,3,5,4,4,5,1,5,5,5,4,2,4,1,6,2,1,3,2,5,1,1,1,1,7,1,7,3,1,1,4,3,3,4,2,4,3,4,1,6,1,1,3,2,2,2,5,1963,1
278,279,1,1,3,2,2,1,1,2,0,55,55,22,70,6,1,15,5.0,9.0,2,4,2,5,1,4,1,1,5,5,4.0,8,8,8,8,8,8,1,8,8,8,3,4,8,8,8,8,8,8,8,8,2,4,4,4,4,4,4,4,4,3,1,1,5,7,4,7,1,1,1,1,2,1,7,4,5,6,1,7,7,2,2,7,4,3,3,3,3,1,3,1,6,1,1,2,2,1,2,3,1958,1
272,273,1,5,4,5,2,1,1,2,0,50,50,50,50,0,50,100,5.0,7.0,5,5,5,5,3,4,4,1,3,5,4.0,8,1,8,8,8,8,8,8,8,8,2,8,8,8,8,4,8,8,3,8,8,4,5,2,3,5,3,1,1,5,1,7,1,1,7,7,7,7,4,9,5,1,7,4,7,7,5,1,4,1,2,7,4,3,5,3,5,1,1,7,2,2,1,5,2,2,3,5,1988,1
776,777,2,3,5,3,2,2,2,1,44,52,54,60,40,51,51,73,3.0,9.0,5,5,5,5,5,5,5,5,3,2,4.0,8,8,8,8,2,3,8,8,8,8,1,4,8,8,8,8,8,8,8,8,8,1,2,2,4,3,2,2,1,1,4,2,1,2,2,1,3,3,4,9,5,2,3,2,5,3,2,6,5,2,2,4,3,5,5,5,5,1,4,4,2,2,4,5,2,2,3,2,1967,1
127,128,2,5,5,5,2,2,2,2,1,50,51,50,100,2,0,12,2.0,9.0,3,3,3,3,2,3,2,1,5,4,4.0,8,8,8,8,8,8,8,8,8,8,4,8,1,8,2,3,8,8,8,8,8,4,4,3,4,3,2,4,2,5,2,4,1,4,4,6,4,1,1,1,3,3,3,3,7,4,5,2,6,2,2,7,4,3,3,3,3,1,4,4,3,1,1,3,1,1,3,5,1937,1
784,785,3,3,4,5,2,2,2,1,50,50,50,50,2,0,50,47,2.0,6.0,3,3,3,3,3,3,3,3,3,3,4.0,8,8,4,8,8,3,8,2,8,8,8,8,8,8,8,1,8,8,8,8,8,5,5,5,5,5,3,4,5,5,3,1,4,3,5,4,5,7,2,1,4,1,2,1,3,4,2,4,4,1,3,3,4,5,5,5,5,1,2,1,3,1,3,5,2,2,3,5,1984,1
155,156,3,5,5,5,2,2,2,1,75,66,68,48,10,42,37,81,1.0,11.0,3,4,4,4,3,3,3,3,3,3,4.0,8,8,8,8,8,8,1,8,8,2,8,8,8,8,4,8,8,8,8,8,3,2,2,4,1,2,5,1,2,5,4,6,6,7,1,1,3,2,2,9,2,1,3,1,3,4,3,6,6,1,3,5,3,5,5,4,5,1,4,4,4,2,2,3,2,2,1,4,1972,1
